TYPE,NEWS
REAL,Alabama officials on Thursday certified Democrat Doug Jones the winner of the state s U.S. Senate race  after a state judge denied a challenge by Republican Roy Moore  whose campaign was derailed by accusations of sexual misconduct with teenage girls. Jones won the vacant seat by about 22 000 votes  or 1.6 percentage points  election officials said. That made him the first Democrat in a quarter of a century to win a Senate seat in Alabama.  The seat was previously held by Republican Jeff Sessions  who was tapped by U.S. President Donald Trump as attorney general. A state canvassing board composed of Alabama Secretary of State John Merrill  Governor Kay Ivey and Attorney General Steve Marshall certified the election results. Seating Jones will narrow the Republican majority in the Senate to 51 of 100 seats. In a statement  Jones called his victory  a new chapter  and pledged to work with both parties. Moore declined to concede defeat even after Trump urged him to do so. He stood by claims of a fraudulent election in a statement released after the certification and said he had no regrets  media outlets reported. An Alabama judge denied Moore s request to block certification of the results of the Dec. 12 election in a decision shortly before the canvassing board met. Moore s challenge alleged there had been potential voter fraud that denied him a chance of victory. His filing on Wednesday in the Montgomery Circuit Court sought to halt the meeting scheduled to ratify Jones  win on Thursday. Moore could ask for a recount  in addition to possible other court challenges  Merrill said in an interview with Fox News Channel. He would have to complete paperwork  within a timed period  and show he has the money for a challenge  Merrill said.  We ve not been notified yet of their intention to do that   Merrill said. Regarding the claim of voter fraud  Merrill told CNN that more than 100 cases had been reported.  We ve adjudicated more than 60 of those. We will continue to do that   he said.  Republican lawmakers in Washington had distanced themselves from Moore and called for him to drop out of the race after several women accused him of sexual assault or misconduct dating back to when they were teenagers and he was in his early 30s.  Moore has denied wrongdoing and Reuters has not been able to independently verify the allegations.   
REAL,The new U.S. tax code targets high-tax states and may be unconstitutional  New York Governor Andrew Cuomo said on Thursday  saying that the bill may violate New York residents  rights to due process and equal protection.  The sweeping Republican tax bill signed into law by U.S. President Donald Trump on Friday introduces a cap  of $10 000   on deductions of state and local income and property taxes  known as SALT. The tax overhaul was the party s first major legislative victory since Trump took office in January.  The SALT provision will hit many taxpayers in states with high incomes  high property values and high taxes  like New York  New Jersey and California. Those states are generally Democratic leaning.   I m not even sure what they did is legally constitutional and that s something we re looking at now   Cuomo said in an interview with CNN. In an interview with CNBC  Cuomo suggested why the bill may be unconstitutional.   Politics does not trump the law   Cuomo said on CNBC.  You have the constitution  you have the law  you have due process  you have equal protection. You can t use politics just because the majority controls to override the law.  The Fifth Amendment of the Constitution  better known for its protection against self-incrimination  also protects individuals from seizure of life  liberty or property without due process and has been interpreted by the Supreme Court as guaranteeing equal protection by the law.  Cuomo and California Governor Jerry Brown  both Democrats  have previously said they were exploring legal challenges to SALT deduction limits.  Law professors have said legal challenges would likely rest on arguing that the provision interferes with the protection of states  rights under the U.S. Constitution s 10th Amendment. Tax attorneys said Cuomo s legal argument against the tax bill could be that it discriminates and places an unjust tax burden on states that heavily voted for Democrats in the past - known as  blue states.   The de facto effect of this legislation is to discriminate against blue states and particularly from  Cuomo s  perspective the state of New York   said Joseph Callahan  an attorney with the law firm Mackay  Caswell   Callahan in New York.  But some tax experts noted the U.S. Supreme Court has interpreted the 16th Amendment to give Congress broad latitude to tax as it sees fit. In a frequently cited 1934 decision  the Supreme Court called tax deductions a  legislative grace  rather than a vested right.  I don t understand how they think they have a valid lawsuit here   David Gamage  a professor of tax law at Indiana University s Maurer School of Law  told Reuters last week  speaking generally about governors in blue states that could challenge the tax bill.  Cuomo also said on Thursday that New York is proposing a restructuring of its tax code. He provided no details.  A group of 13 law professors on Dec. 18 published a paper suggesting ways that high-tax states could minimize the effects of the SALT deduction cap.  Their suggestions included shifting more of the tax burden onto businesses in the form of higher employer-side payroll taxes  since the federal tax bill s cap on SALT deductions only applies to individuals and not businesses. States also could raise taxes on pass-through entities  which the federal tax bill specifically benefits with a lower rate on a portion of their income. On Friday  Cuomo said he would allow state residents to make a partial or full pre-payment on their property tax bill before Jan. 1  allowing taxpapyers to deduct such payments for 2017 before the cap kicks in  prompting a wave of residents to pay early.  However  the U.S. Internal Revenue Service on Wednesday advised homeowners that the pre-payment of 2018 property taxes may not be deductible.   
REAL, The following statements were posted to the verified Twitter accounts of U.S. President Donald Trump   realDonaldTrump and  POTUS.  The opinions expressed are his own. Reuters has not edited the statements or confirmed their accuracy.   realDonaldTrump   - Vanity Fair  which looks like it is on its last legs  is bending over backwards in apologizing for the minor hit they took at Crooked H. Anna Wintour  who was all set to be Amb to Court of St James s   a big fundraiser for CH  is beside herself in grief   begging for forgiveness!  1024 EST  -- Source link   bit.ly 2jBh4LU   bit.ly 2jpEXYR    
REAL, The following statements were posted to the verified Twitter accounts of U.S. President Donald Trump   realDonaldTrump and  POTUS.  The opinions expressed are his own. Reuters has not edited the statements or confirmed their accuracy.   realDonaldTrump   -  On 1 20 - the day Trump was inaugurated - an estimated 35 000 ISIS fighters held approx 17 500 square miles of territory in both Iraq and Syria. As of 12 21  the U.S. military estimates the remaining 1 000 or so fighters occupy roughly 1 900 square miles...  via  jamiejmcintyre   1749 EST  - Just left West Palm Beach Fire   Rescue  2. Met with great men and women as representatives of those who do so much for all of us. Firefighters  paramedics  first responders - what amazing people they are!  1811 EST  -  On 1 20 - the day Trump was inaugurated - an estimated 35 000 ISIS fighters held approx 17 500 square miles of territory in both Iraq and Syria. As of 12 21  the U.S. military est the remaining 1 000 or so fighters occupy roughly 1 900 square miles..   jamiejmcintyre  dcexaminer  2109 EST  -   Arrests of MS-13 Members  Associates Up 83  Under Trump   bit.ly 2liRH3b  2146 EST  -- Source link   bit.ly 2jBh4LU   bit.ly 2jpEXYR    
REAL,   In Dec. 25 story  in second paragraph  corrects name of Strong s employer to Mental Health Department  not Public Health Department.  By Bernie Woodall  Reuters  - A man claiming to be the person who delivered a gift-wrapped package of horse manure at the Los Angeles home of U.S. Treasury Secretary Steven Mnuchin said on Monday he did it to protest the federal tax overhaul signed into law last week by President Donald Trump. Robert Strong  45  a psychologist for the Los Angeles County Mental Health Department  said by telephone he left the poop-filled parcel addressed to Mnuchin and Trump in the driveway outside Mnuchin s home in the posh Bel Air community.  KNBC-TV  an NBC television affiliate in Los Angeles  reported Mnuchin was not home at the time. The package was found by Mnuchin s neighbor.     Protest really should be funny   Strong told Reuters.  People s eyes glaze over when they just see angry people in the streets.  He believes the new tax law will hurt poor people. Neither the U.S. Secret Service nor the Los Angeles Police Department  both of which investigated the incident  would confirm Strong was responsible. The Secret Service interviewed an individual who admitted delivering the package  but no charges had been filed against him as of Monday afternoon. LAPD Lieutenant Rob Weise said it was possible whoever left the package did not break any criminal laws. While he is not assigned to investigate the incident  Weise said if the box did not present any danger  it would not be illegal. The LAPD bomb squad X-rayed the box before opening it on Saturday. In a photo of the card Strong posted on Twitter  he wrote  Misters Mnuchin   Trump  We re returning the  gift  of the Christmas tax bill  and signed it  Warmest wishes  The American people.       Strong said a Secret Service agent  accompanied by six police officers  showed up at his house to question him on Sunday night  and the agent chided him  asking    Are you ashamed of your behavior?       The White House declined to comment on Monday and officials with the Treasury Department could not be reached.           
REAL,A lottery drawing to settle a tied Virginia legislative race that could shift the statehouse balance of power has been indefinitely postponed  state election officials said on Tuesday  after the Democratic candidate mounted a legal fight. The decision to put off the high-stakes lotto  originally scheduled for Wednesday  marks the latest twist in a dramatic election recount that at one point showed Democrat Shelly Simonds beating Republican incumbent David Yancey by a single vote.  A victory by Simonds would shift Republicans  slim control of the 100-member House of Delegates to an even 50-50 split with the Democrats  forcing the two parties into a rare power-sharing arrangement. A day after Simonds emerged as the victor of a recount  a three-judge panel ruled that a disputed ballot should be counted for Yancey. That decision left the two candidates tied with 11 608 votes each in a district that encompasses the shipping hub of Newport News in southeastern Virginia  setting the stage for the equivalent of a coin toss to pick a final winner. Simonds asked a state court to reconsider on Tuesday  arguing that the disputed ballot was wrongly included. An image filed in court showed that the ballot had bubbles filled in beside both names  with a slash mark by Simonds  name. The voter selected Republicans for other offices. Simonds told reporters that the case had implications not only for her contest but for the integrity of state elections as a whole  saying that without a court ruling in her favor   recounts would become a never-ending spiral of courtroom challenges.  The chairman of the Virginia Board of Elections  James Alcorn  said in a statement that while holding a lottery would be in keeping with state law  such a move should be considered  an action of last resort.  He added   Any substantive concerns regarding the election or recount should be resolved before a random drawing is conducted.     Yancey s campaign did not immediately respond to requests for comment. The Virginia House Republican Caucus said in a statement that it was reviewing the new court filings.  We believe the court acted appropriately and that the integrity of the process is without question   spokesman Parker Slaybaugh said. Virginia Department of Elections spokeswoman Andrea Gaines said in an email that no new date for a drawing has been set. Democrats notched historic gains in Virginia s statehouse elections last month  part of the party s first big wave of political victories since Republican Donald Trump won the White House last year. Before the Nov. 7 general election  Virginia Republicans held 66 seats to the Democrats  34 in the House of Delegates  along with a majority in the state Senate.   
REAL,A Georgian-American businessman who met then-Miss Universe pageant owner Donald Trump in 2013  has been questioned by congressional investigators about whether he helped organize a meeting between Russians and Trump s eldest son during the 2016 election campaign  four sources familiar with the matter said. The meeting at Trump Tower in New York involving Donald Trump Jr. and other campaign advisers is a focus of probes by Congress and Special Counsel Robert Mueller on whether campaign officials colluded with Russia when it sought to interfere in the U.S. election  the sources said. Russia denies allegations by U.S. intelligence agencies that it meddled in the election and President Donald Trump denies any collusion. The Senate and House of Representatives intelligence committees recently questioned behind closed doors Irakly Kaveladze  a U.S. citizen born in the former Soviet republic of Georgia  the sources said. He is a U.S.-based representative of Azerbaijani oligarch Aras Agalarov s real estate firm  the Crocus Group. The panels knew Kaveladze was at the June 9  2016 meeting but became more interested in him after learning he also attended a private dinner in Las Vegas in 2013 with Trump and Agalarov as they celebrated an agreement to hold that year s Miss Universe pageant in Moscow  the sources said.  Committee members now want to know more about the extent of Kaveladze s contacts with the Trump family and whether he had a bigger role than previously believed in setting up the Trump Tower meeting when Trump was a Republican candidate for president. The White House declined to comment. Mueller s office also declined to comment. Scott Balber  a New York lawyer who represents Kaveladze  confirmed that his client attended both the dinner in Las Vegas and the Trump Tower meeting but said he did not set up the second meeting. Trump s son-in-law Jared Kushner  other Trump campaign aides  and Russian lawyer Natalia Veselnitskaya were also at that meeting. Lawyer Balber also said the committees were only seeking Kaveladze s input as a witness and were not targeting him for investigation.  No-one has ever told me that they have any interest in him other than as a witness   Balber said. Lawyers for Trump Jr. and Kushner did not respond to requests for comment about their contacts with Kaveladze. A lawyer for President Trump declined to comment. One photograph from the 2013 dinner  when Trump still owned the Miss Universe pageant  shows Agalarov and his pop singer son Emin along with Trump  two Trump aides and several other people at the dining table. Another shows Kaveladze standing behind Trump and Emin Agalarov as they speak. The pictures were found by a University of California at Irvine student and blogger Scott Stedman  who posted them on Nov. 22. Aras Agalarov is a billionaire property developer in Russia who was awarded the Order of Honor by Russian President Vladimir Putin. Several U.S. officials who spoke on condition of anonymity said Mueller s team and the committees are looking for any evidence of a link between the Trump Tower meeting and the release six weeks later of emails stolen from Democratic Party organizations. They are also trying to determine whether there was any discussion at the New York meeting of lifting U.S. economic sanctions on Russia  a top priority for Putin  the officials said. Rob Goldstone  a British publicist  told Trump Jr. ahead of the New York meeting that Russian lawyer Veselnitskaya would be bringing damaging information about donations to a charity linked to Trump s Democratic rival Hillary Clinton  according to emails later released by Trump Jr. Trump Jr. initially said the meeting was about Russian adoptions but later said it also included Veselnitskaya s promises of information on the donations to the Clinton charity. He said he ultimately never received the information  although it was later posted on the Internet. In a statement issued after meeting with the Senate Judiciary Committee on Sept. 7  Trump  Jr. said Goldstone and Veselnitskaya were in a conference room with him as well as Kaveladze and a translator. Balber said Kaveladze attended expecting to serve as a translator  although he did not do so in the end because Veselnitskaya brought her own.   
REAL, The following statements were posted to the verified Twitter accounts of U.S. President Donald Trump   realDonaldTrump and  POTUS.  The opinions expressed are his own. Reuters has not edited the statements or confirmed their accuracy.   realDonaldTrump   - Based on the fact that the very unfair and unpopular Individual Mandate has been terminated as part of our Tax Cut Bill  which essentially Repeals  over time  ObamaCare  the Democrats   Republicans will eventually come together and develop a great new HealthCare plan!  0658 EST  - WOW   foxandfrlends  Dossier is bogus. Clinton Campaign  DNC funded Dossier. FBI CANNOT  after all of this time  VERIFY CLAIMS IN DOSSIER OF RUSSIA TRUMP COLLUSION. FBI TAINTED.  And they used this Crooked Hillary pile of garbage as the basis for going after the Trump Campaign!  0824 EST  - All signs are that business is looking really good for next year  only to be helped further by our Tax Cut Bill. Will be a great year for Companies and JOBS! Stock Market is poised for another year of SUCCESS!  17 17 EST  -- Source link   bit.ly 2jBh4LU   bit.ly 2jpEXYR    
REAL,A U.S. appeals court in Washington on Tuesday upheld a lower court s decision to allow President Donald Trump s commission investigating voter fraud to request data on voter rolls from U.S. states. The U.S. Court of Appeals for the District of Columbia Circuit said the Electronic Privacy Information Center  EPIC  watchdog group  which filed the lawsuit  did not have legal standing to seek to force the presidential commission to review privacy concerns before collecting individuals  voter data. EPIC had argued that under federal law  the commission was required to conduct a privacy-impact assessment before gathering personal data. But the three-judge appeals court panel ruled unanimously that the privacy law at issue was intended to protect individuals  not groups like EPIC.  EPIC is not a voter   Judge Karen Henderson wrote in the ruling.  Washington-based U.S. District Judge Colleen Kollar-Kotelly first denied EPIC s injunction request in July  in part because the collection of data by the commission was not technically an action by a government agency so was not bound by laws that govern what such entities can do.  Kollar-Kotelly noted that the commission  headed by Vice President Mike Pence  was an advisory body that lacks legal authority to compel states to hand over the data. Most state officials who oversee elections and election law experts say that voter fraud is rare in the United States. Trump  a Republican  set up the commission in May after charging  without evidence  that millions of people voted unlawfully in the 2016 presidential election in which he defeated Democratic opponent Hillary Clinton despite losing the popular vote.  The commission s vice chair  Kris Kobach  the Republican secretary of state for Kansas and an advocate of tougher laws on immigration and voter identification  asked states in June to turn over voter information. The data requested by Kobach included names  the last four digits of Social Security numbers  addresses  birth dates  political affiliation  felony convictions and voting histories.  More than 20 states refused outright and others said they needed to study whether they could provide the data. Civil rights groups and Democratic lawmakers have said the commission s eventual findings could lead to new ID requirements and other measures making it harder for groups that tend to favor Democratic candidates to cast ballots. EPIC executive director Marc Rotenberg could not immediately be reached for comment.   
FAKE, Donald Trump campaign senior advisor Jack Kingston appeared on CNN Friday to discuss Trump s efforts to reach out to voters of color. During the segment  Kingston said that  maybe it would have been nice if he  Trump  went and had a backdrop with a burning car  while speaking at a campaign event in Wisconsin in order to appeal to black voters. As a reminder  you are not reading The Onion  those are the real words that Kingston said while on television for the entire world to hear.During the segment  CNN host Brianna Keiler attempted to explain to Kingston that it isn t a good idea to try and reach out to voters of color by speaking to a nearly entirely white community. She also questioned the decision to reach out to a voting bloc that overwhelmingly supports the Democratic challenger  Hillary Clinton. As per usual when talking to a Trump fan  Kingston says that Trump is doing far better with a group than polls show.Here s a transcript of the conversation Keilar  He s polling right now at 2 percent with African-American voters. Is that the right way to attract a voting block that obviously favors Hillary Clinton much more than him?Kingston  Well first of all  our internal poll show us doing better than 2 percent  but the reality is he s going there and he s taking it to them. He s giving them a proposal. He s saying   You know what? I m interested  I went to Milwaukee  I m here tonight  I want to talk to you.  And one of the things he actually said last night in North Carolina that kind of went uncovered  but he says  I don t want to preside over another generation of children who are left out of the American dream. Keilar  I have to stop you because you said he s going there. He s not  he s in Diamondale  which is 93 percent white. When he was in Milwaukee the other day  it was part of Milwaukee that wasn t dealing   I mean he  it s  Kingston  Well yeah  but Brianna he went  Keilar  It s almost completely white.Kingston  I mean  maybe it would have been nice if he went and had a backdrop with a burning car  but the reality is  Keilar  No no no no no  I m not talking about a burning car. I m talking about meeting with black voters.Kingston  Well  he met with David Clarke  who as you know is the African-American Sheriff of Milwaukee  and he s engaged with him. And his rallies are open to the public. Last night in North Carolina  we saw a lot of African-Americans. I wasn t sure about the crowd content tonight  but the reality is  Keilar  It s white. We checked.Wow. It s hard to imagine Trump s polling numbers being able to go down from a measly 2  from black voters. However  they might plummet to zero if they keep up with this pathetic voter outreach effort.You can watch the segment below  via Media Matters Featured image from video screenshot                                                                                                                                                                          
FAKE, As crunch time nears and states are having their primary contests  the Clinton campaign is wasting no time in getting further ahead than the Republicans.In a new report detailed by Politico  Hillary Clinton and her campaign are setting course to raise over $1 billion to unseat vulnerable House and Senate Republicans  with the aim of knocking off 10 to 25 House seats from Republicans and taking back the Senate.Hillary Clinton will raise $1 billion for Democrats and the party will train some of their efforts   and that money   on defeating House and Senate Republicans. Party leaders privately concede that the Senate could be lost either way. But senior House Republicans say they re in good shape across the country  and see no evidence that the control of the chamber is in playRepublicans are especially antsy at these revelations  considering the Republican National Committee fell almost $10 million short in their July fundraising predications  they only conjured up $27 million . In that same month  the Democratic Congressional Campaign Committee  the fundraising arm of the Democratic National Committee  raised over $35 million  not including the total $90 million in joint fundraising with Clinton   and has raised almost $20 million more than the RNC for the 2016 fiscal year so far.In contrast  Trump had a very good month for fundraising. Counter that with the RNC s pathetic monthly numbers  the money speaks for itself  the GOP is putting its trust  and money  in Trump and Trump alone.So while Trump is hurting down-ballot candidates and their efforts for re-election  Clinton is set to raise unprecedented amounts of money for the Democrats  all while having her own campaign to fund.Back in May 2015  Politico reported that Clinton s campaign sought to raise over $2 billion by the time the November general election rolled around. Considering the Clinton campaign has raised  per OpenSecrets  $375 million for her own personal campaign  $100 million in 2015 for down-ballot candidates in 2015  and over $60 million through the summer of 2016  coupled with the goal of $1 billion by November   that leaves the campaign roughly $465 million off target.Still  the Clinton machine is dominating Republicans in fundraising  not just for the presidential candidate  but for everyone else involved.Clinton is serious about getting stuff done   she knows her policies will be  pie-in-the-sky  without support from Congress. So what does she do? She raises more money for other Democrats than she does for herself. Trump  on the other hand  hoards the money for himself while he s a billionaire. See how that concentration of wealth screws everyone over  Republicans? Ironic  isn t it.Featured image Justin Sullivan Getty Images                                                                                                                                                                          
FAKE, If you ve even been on Twitter then you ll know that it s often filled with not only news and updates on events  but also filled with a stream of consciousness from  well  pretty much everyone on the social media site.One of the best at just letting you know exactly what is on her mind  and uses emojis in a way that can only be seen as extraordinary  is none other than the legendary artist actress entertainer extraordinaire  Cher.She is currently on a Twitter rampage against Republican presidential nominee Donald Trump and has unleashed her emoji fabulousness all over her Twitter feed.It all began when she noticed an older Washington Post article that featured Donald Trump s tweet where he displayed his face superimposed over the American flag with Nazi soldiers marching in front of the White House.Scary  right? Well  Cher clearly thought so  too  and has been angrily tweeting her disgust in the candidate ever since.Check out her tweets  as well as replies  here Donald Trump tweets image of Nazi soldiers inside the U.S. flag  then deletes tweet   The Washington Post ?NAZI ART https   t.co rtuWNLMtT3  Cher   cher  August 20  2016TRUMP HAS NAZI IN AD?WHY AM I NOT SURPRISED?MORE IMPORTANTLY..WTF IS THAT SOCIOPATHS FACE DOING ON MY??.?GOES AGAINST EVERYTHING??STANDS4  Cher   cher  August 20  2016She even lays down the flag code US CODE Title 4 Chapter 1-8 i AMERICAN FLAG SHOULD NEVER B USED 2 SELL A PRODUCT DONT DESECRATE OUR??W YOUR FACE pic.twitter.com nvSQNX6Py0  Cher   cher  August 20  2016 debdlr Saw Pic Of?That Reflects HIM PERFECTLY Hes In Nazi Environment IN SS COAT but??Was In It  Changed 2make Point So Not posting it.  Cher   cher  August 20  2016 Q State Fun ITS INSANE IF IT WAS A MISTAKE THEY'RE INCOMPETENT IF IT WASN'T ..WHAT  Cher   cher  August 20  2016She also goes after his use of foreign workers Trump's Mar-a-Lago hires hundreds of foreign workers March 18 WHY DIDNT ?GIVE   THESE JOBS  2 ??'NS THEY DESERVE THEM https   t.co TigaHUIvGH  Cher   cher  August 20  2016 RichardGrenell TRUMP TAKES HIS  OWN  PRIVATE   2GO 2 THE KITCHEN 2 GET FRESH?JUICE  SQUEEZED BY SOME1 HERE ON H-1B VISA NOT AN ??'N WORKER?  Cher   cher  August 20  2016Also calling out his photo op in Louisiana  WheesyLouise I Dont Believe Trump Has A Humble Bone OR ?of Human Kindness In HIS BODY THERE'S TRUE ?  CONCERN   THEN THERES PHOTO OPS  Cher   cher  August 20  2016And just lays it all out with clearly no f cks to give  EdHenryFans I DEFENDTHE CONSTITUTION'S    FREEDOM OF SPEECH    I WONT DISRESPECT MY?? 2 MANY HAVE DIED 4 IT.U MAY HATE ME BUT IM AN ??n  Cher   cher  August 20  2016It must be remembered that Trump has been endorsed by several white supremacists and white supremacy groups  including  but not limited to the Ku Klux Klan. So  when Trump used Nazi soldiers with his face on our flag  it s probably about the worst thing ever. EVER.Let s listen to Cher  as well as sane people everywhere and make sure Donald Trump gets nowhere near the Oval Office. Please  for the sake of all humanity.Featured image via Slaven Vlasic Getty Images   Twitter                                                                                                                                                                          
FAKE, Republican strategists and party officials are circulating a plan of action that they are close to enacting  based on the premise that Donald Trump will almost certainly lose the presidential election. The plan is a way for congressional campaigns to untangle themselves from the Trump campaign  saving their own skins in November.Party strategists are mapping out blueprints for down-ballot candidates  in TV ads and on the campaign trail  to present themselves as checks on a Hillary Clinton presidency. It s an approach that would essentially admit a Trump loss. In interviews  nearly one dozen Republican operatives said they had begun poll-testing the idea   which one labeled a  break glass in case of emergency  strategy   to gauge how the public would react to it.The last time Republicans essentially abandoned their nominee was in 1996  when it became clear that Senator Bob Dole would lose to President Bill Clinton. Clinton went on to win that race with 379 electoral votes and victories in 31 states and Washington  D.C. But Republicans were able to stop the bleeding and held on to House and Senate seats.Politico reports that the emergency election plan involves an appeal based on telling voters that Republicans want congressional seats in order to provide a check on the power that Hillary Clinton would have as President. Infamous Republican political operative Karl Rove seems to be on board.The deliberations extend to the highest levels of the party. American Crossroads  the influential conservative group that was co-founded by Karl Rove  has tested to see how voters would feel about Republicans casting themselves as being a check and balance to Hillary Clinton  according to four sources familiar with the deliberations.The existence of this plan  and the fact that so much of it is already mapped out  is very nearly a concession in the presidential race before it s even September.Featured image via Flickr                                                                                                                                                                          
FAKE, A new report from the New York Times finds that Donald Trump owes twice as much debt as he reported on his public election filings.The NY Times reports  Beyond finding that companies owned by Mr. Trump had debts of at least $650 million  The Times Discovered that a substantial portion of his wealth is tied up in three passive partnerships that owe an additional $2 billion to a string of lenders  including those that hold the loan on the Avenue of the Americas building. If those loans were to go into default  Mr. trump might not be held personally liable  but the value of his investments would sink. The NY Times points out that Trump probably didn t lie about the amount of debt he has in his public filings  it s just a matter of the forms that were filled out not being designed for a person who has as complex financial holdings as Trump does.What s really interesting about the report  is that it also shows Trump s one of the very few criticisms of Hillary Clinton shared by some on the left  which he stole from progressives anyway  is now rendered completely invalid for him to make  due to it being completely hypocritical.The NY Times reports  An office building on Avenue of the Americas in Manhattan  of which Mr. Trump is part owner  carries a $950 million loan. Among the lenders  the Bank of China  one of the largest banks in a country that Mr. Trump has railed against as an economic foe of the United States  and Goldman Sachs  a financial institution he has said controls Hillary Clinton  the Democratic nominee  after it paid her $675 000 in speaking fees. Trump has positioned himself as a strong businessman throughout his presidential campaign. However  he has come under fire from Democrats as report after report comes out showing that he is actually a huge failure in the world of business. Most notably from Elizabeth Warren who has said that  Donald Trump is a loser. Count all his failed businesses. See how he kept his father s empire afloat by cheating people with scams like Trump University and by using strategic corporate bankruptcy  excuse me  bankruptcies  to skip out on debt. The report is damning and should give Democrats a few more talking points that show just how dangerous a Trump presidency would be for the United States.Featured image from Spencer Platt Getty Images                                                                                                                                                                          
FAKE, Supreme Court Justice Ruth Bader Ginsburg is blasting the Republican obstructionism that has crippled the United States Supreme Court. Ginsburg said that having only eight justices sitting on the high court is simply  not good enough  to deal with the crucial issues at hand.Speaking to New Mexico State Bar Association members who had gathered on Friday  Ginsburg explained that the short-handed court had been faced with important decisions in recent months that were unable to be dealt with properly because the court does not have the intended number of justices.When we are evenly divided  it is equivalent to denying review   Ginsburg said.  There were important issues in these four cases that we were unable to decide  and they will come back again and one of them was the president s immigration policy.Ginsburg spoke of several recent cases that had been before the court but had resulted in 4-4 deadlock rather than a final decision  which left the ruling of lower courts in place. The cases she referenced included a key case on immigration  organized labor fees  and the ability of Native American tribal courts to decide controversies involving visitors.The Supreme Court has been operating with only eight justices rather than nine since the unexpected death of Antonin Scalia in February. Before his body had even had a chance to get cold  Senate Majority Leader Mitch McConnell announced that Senate Republicans would refuse to consider any nomination put forth by President Obama. So far  they have held true to their word and have refused to hold a confirmation hearing for Obama s Supreme Court nominee  Merrick Garland.Last month  Garland made history and now holds the record for the longest wait for a confirmation hearing of anyone who has ever been nominated to the Supreme Court. There is no justifiable reason that Senate Republicans have refused to give Obama s nominee a straight up or down vote. Meanwhile  the highest court in the land has been crippled by their absurd obstructionism.Featured image via Kevork Djansezian Getty Images                                                                                                                                                                          
FAKE, A pastor shamefully lied in defense of Donald Trump on Saturday and Joy Reid shut him down HARD.During an interview on MSNBC  conservative  Christian  pastor Darrell Scott  who is one of the few black people in America who support the Republican nominee  pretended that Trump is not a racist and denied that Trump had anything to do with the birther movement against President Obama.Trump tried to sell himself to black voters on Friday in front of an audience of white people by telling them they have  nothing to lose  by voting for him. That led Reid to ask   If Donald Trump makes a speech to black people when there are none around to hear it  did he make a sound? Reid turned to Scott and noted that Trump has made two appeals to black voters in recent days in places where the black population only makes up about 1 percent of the total.  Why is he making those appeals in front of almost exclusively white audiences?  she asked.Scott made excuses for Trump  claiming that it doesn t matter where he speaks because all African-Americans hear him. When pressed on why Trump has not accepted invitations from the NAACP  the Urban League  and the National Association of Black Journalists because he supposedly had better things to do already on his schedule.Reid smiled as Scott called Trump  a cultural phenomenon  who draws rock star crowds. Reid then zinged back that those crowds are devoid of black people.Reid slammed Trump for pushing the false notion that every black person in America is living in poverty and going to failing schools and then asked Scott about Trump s history of housing discrimination  which has been cited by the Justice Department because the Republican nominee refused to rent to black people.Scott claimed that it was just an accusation and denied that Trump discriminated against black people  but the record shows that Trump settled the case with the government because there was a strong case against him  hardly the action of a man who didn t commit such an offense.Reid then asked Scott about Trump s prominent role in the birther movement. Despite multiple video tapes of Trump pushing the birther conspiracy and demanding President Obama s birth certificate  Scott also denied that Trump had anything to do with the movement. Don t tell me you agree with the bitherism  sir   Reid pleaded.  Don t tell me you agree with that. Scott replied by claiming that Hillary Clinton started the birther movement  a notion that is totally false. And Reid shut Scott down for blatantly lying on her show. That s wrong. Even a pastor cannot make things up on this show   she cautioned. I respect you as a pastor  but you re not going to come on and make things up. Here s the video via MSNBC.Donald Trump is desperately trying to save his flailing campaign and that s the only reason why he is making feeble attempts to court black voters now. If he really cared about black people he would have been courting them from the beginning. Instead  he has been palling around with white supremacists and encouraging violence against black protesters at his rallies. Scott can t sit there and call himself a man of God while lying through his teeth to defend a bloated racist. It s just not going to fly.Featured image via screenshot                                                                                                                                                                          
